day_and_date,start_time,end_time,title,program_track,location,speakers_or_contributors,affiliations,keywords_tags,interest_area,registration_category,session_url,description
"Monday, 20 July 2026",10:00am,11:00am,OpenEXR,Birds of a Feather,JW Marriott - Gold Ballroom 4,Kimball Thurston,Weta Digital VFX,Visual Effects,Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_208&sess=sess571,"Open discussion with project maintainers about new features and future directions.

This BoF is part of a full day of open source BoFs hosted by the Academy Software Foundation as part of Open Source Days. Learn more at opensourcedays.aswf.io."
"Monday, 20 July 2026",10:00am,11:00am,OpenVDB,Birds of a Feather,JW Marriott - Gold Ballroom 3,Ken Museth,NVIDIA,Visual Effects,Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_211&sess=sess574,"Significant changes in the upcoming major release of OpenVDB.

This BoF is part of a full day of open source BoFs hosted by the Academy Software Foundation as part of Open Source Days. Learn more at opensourcedays.aswf.io."
"Monday, 20 July 2026",10:00am,12:00pm,"USD, Hydra, OpenExec and OpenSubdiv: Pixar’s Open Source Meetup",Birds of a Feather,Room 518,Jessica Wang; Katie Herrera,Pixar Animation Studios,Pipeline Tools and Work; Real-Time; Rendering,New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_102&sess=sess256,"Join the discussion with the developers and users of Universal Scene Description (USD), Hydra, OpenExec, and OpenSubdiv. We'll showcase work from the past year and the plans ahead."
"Monday, 20 July 2026",10:00am,11:00am,Workstations: From the Desk to the Datacenter,Birds of a Feather,Room 512,Jon Bach,Puget Systems,Artificial Intelligence/Machine Learning; Generative AI; Graphics Systems Architecture; Image Processing; Pipeline Tools and Work; Real-Time; Rendering,Gaming & Interactive; New Technologies; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_150&sess=sess388,"As creative and technical workflows become more remote, the traditional tower workstation is no longer the only answer. This session explores the spectrum from deskside workstations to rackmount systems, VDI, and cloud-based platforms. We will compare common tools and deployment models, discuss the strengths and tradeoffs of each approach, and examine how the AI boom and memory shortages are changing infrastructure decisions. When does local hardware still win? When does centralized or cloud infrastructure make more sense? Join an open discussion on where workflows are headed and where the long-term equilibrium may settle."
"Monday, 20 July 2026",10:15am,10:45am,Maxon Computer Inc | Preparing Students for Creative Careers: Teaching the Tools and Workflows the Industry Uses,Educator's Day Session,Room 411,Steve Forde,Maxon Computer Inc,Animation; Digital Twins; Education; Games; Industry Insight; Modeling; Performance; Pipeline Tools and Work; Real-Time; Rendering; Simulation,Gaming & Interactive; Production & Animation,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=eduday_105&sess=sess577,"Creative talent opens the door, but it is hands-on experience with professional tools and production workflows that prepares students for successful careers.

Join Steve Forde, Chief Product Officer at Maxon, as he explores how educators can better align teaching with the realities of today's creative industries. Drawing on examples from film, broadcast, motion graphics, visual effects, and game development, Steve will discuss the technologies and collaborative workflows used by studios around the world, and why experience with industry-standard tools continues to be an important advantage for graduates entering the workforce.

The session will also introduce Maxon's growing education initiatives designed to help educators bring students closer to professional practice. These include classroom support from Maxon's Solutions Experts through guest lectures, masterclasses, and curriculum guidance, along with a new skills assessment tool that enables students to measure their progress and build confidence as they develop practical production skills.

Rather than focusing on software features alone, this session looks at how educators can bridge the gap between classroom learning and professional production, giving students the experience, confidence, and industry relevance they need to succeed in creative careers."
"Monday, 20 July 2026",10:30am,5:00pm,Art Gallery,Art Gallery,Concourse Foyer,,,,Arts & Design; Gaming & Interactive; New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess236,"The SIGGRAPH 2026 Art Gallery explores computer graphics and interactive techniques as languages and materials to express artistic visions and experiences. The theme “In-Betweens” highlights the interactions that the twelve installations establish with space, time, and generations. Across media and approaches, including screens, projections, installations, sculptures, retro devices, wearables, bio art, data visualization art, robotics, and space art, the Art Gallery brings together creators whose works address large-scale questions and humanitarian concerns; investigate foundational components such as algorithmic methods and computing hardware; expand how we perceive an increasingly interconnected world; and re-examine and speculate about our place within the layered infrastructures of contemporary technology."
"Monday, 20 July 2026",10:30am,5:00pm,Emerging Technologies,Emerging Technologies,Concourse Hall,,,Art; Artificial Intelligence/Machine Learning; Audio; Augmented Reality; Capture/Scanning; Computer Vision; Digital Twins; Display; Dynamics; Education; Fabrication; Games; Generative AI; Graphics Systems Architecture; Haptics; Hardware; Image Processing; Performance; Physical AI; Pipeline Tools and Work; Real-Time; Robotics; Scientific Visualization; Spatial Computing; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess251,
"Monday, 20 July 2026",10:30am,5:00pm,Immersive Pavilion,Immersive Pavilion,Concourse Hall,,,Animation; Art; Artificial Intelligence/Machine Learning; Audio; Augmented Reality; Computer Vision; Digital Twins; Education; Ethics and Society; Fabrication; Games; Generative AI; Haptics; Hardware; Image Processing; Performance; Pipeline Tools and Work; Real-Time; Scientific Visualization; Simulation; Spatial Computing; Virtual Reality,Arts & Design; Gaming & Interactive; New Technologies; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=16&sess=sess244,
"Monday, 20 July 2026",10:30am,11:30am,SIGGRAPH Thesis Fast Forward,ACM SIGGRAPH 365,Room 404 AB,Ruben Wiersma; Ruben Wiersma; Ryusuke Sugimoto; Siqi Wang; Shivangi Aneja; Nicole Feng; Tahmeena Javaid Adeel; Uday Kusupati; Diana Marin; Josh Vekhter,Bournemouth University; ByteDance Inc.; ETH Zurich; Institute of Science and Technology Austria (ISTA); New York University; Stanford University; Technical University Munich; Technische Universität Wien (TU Wien); UT Austin,Education,Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=thea_101&sess=sess279,The SIGGRAPH Thesis Fast Forward is a forum for Ph.D. students in computer graphics to present and broadcast their research in 3 minutes or less. Students from around the world introduce us to a wide variety of topics spanning research over the last five years.
"Monday, 20 July 2026",10:30am,11:30am,The Last 20%: Getting GenAI to a Deliverable Frame,Birds of a Feather,Room 513,Mathieu Mazerolle; Jason Schliefer; Troy Tobin; Jeff Kember,Foundry; NVIDIA; Pitch Black,Animation; Artificial Intelligence/Machine Learning; Visual Effects,New Technologies; Production & Animation; Research & Education,Full Conference Supporter; Full Conference; Experience,https://s2026.conference-schedule.org/?post_type=page&p=15&id=bof_214&sess=sess500,"The strongest pipelines pair the speed of AI with the control of traditional workflows, keep artists in command, and hold context as they scale across production, including air-gapped and on-prem. Production with AI is not one shot and a handover. It is continuous loops of iteration: matching color and scene-linear workflows, holding continuity across the frames that carry a story, and moving between AI tools and DCCs until the work is right. Artists, pipeline engineers, and tool builders show how they are building these AI-centric pipelines today, then open the floor: what works, what breaks, and what comes next."
